CountryISO3,year,TradeFlow,NTM Coverage ratio,NTM Frequency ratio,Traded products - total,NTM affected product - count,Total Trade,NTM affected trade
AFG,2012,Export,69.91916655,11.37782045,2083,237,1921539.781,1343524.6
AFG,2012,Import,22.73876032,13.30428095,3901,519,15249096.31,3467455.46
ARE,2015,Export,39.36588657,51.0330993,4985,2544,198407190.3,78104749.46
ARE,2015,Import,73.05921787,60.18662519,5144,3096,219887471,160648066.5
ARG,2017,Export,76.15876301,28.67410161,4035,1157,63149848.31,48094143.31
ARG,2017,Import,94.58302005,91.27384346,4561,4163,62218362.62,58848006.39
ATG,2016,Export,2.366002976,4.373610082,1349,59,55874.42253,1321.9905
ATG,2016,Import,43.23057931,25.61241154,3674,941,572411.0371,247456.6073
AUS,2015,Export,25.24297915,32.72051229,4841,1584,206528639.6,52133981.45
AUS,2015,Import,77.52300672,61.80429978,4977,3076,207238186.3,160657273.1
BEN,2014,Export,46.67813467,30.17312448,1213,366,962341.9506,449203.2717
BEN,2014,Import,64.11432502,32.72936439,3477,1138,3559393.999,2282081.437
BFA,2012,Export,65.3902111,15.50632911,1264,196,2781696.494,1818957.21
BFA,2012,Import,61.75543772,26.4633141,3639,963,3848247.134,2376501.862
BHR,2015,Export,74.52715078,48.14717477,3805,1832,19662387.84,14653817.44
BHR,2015,Import,58.59659779,48.13218391,4872,2345,22244697.01,13034635.64
BHS,2015,Export,26.6658497,3.891050584,1542,60,672317.8575,179279.2694
BHS,2015,Import,49.49129103,26.56042497,4518,1200,4388089.475,2171722.132
BOL,2016,Export,57.89049462,33.75241779,1034,349,10076304.67,5833222.61
BOL,2016,Import,44.13704349,36.83172656,4564,1681,10356145.98,4570896.656
BRA,2016,Export,50.03869924,38.71176217,4642,1797,206722619.8,103441310
BRA,2016,Import,86.41909909,75.62034739,4836,3657,186221659.7,160931080.6
BRB,2015,Export,39.75255676,9.186220669,2003,184,887306.6732,352727.0889
BRB,2015,Import,43.09009761,18.63600317,3783,705,3111850.284,1340899.325
BRN,2015,Export,38.17710971,15.19461078,2672,406,7813468.593,2982956.477
BRN,2015,Import,44.46835858,25.17919075,4325,1089,3651138.041,1623601.156
CAN,2015,Export,26.21904957,8.051434224,5055,407,412028945,108030073.3
CAN,2015,Import,88.91363245,95.53709428,5176,4945,423921025.5,376923582.5
CHE,2015,Export,96.16471899,80.87487284,4915,3975,301553623.5,289988194.6
CHE,2015,Import,51.45552498,60.73929961,5140,3122,268379001.2,138095824
CHL,2016,Export,10.15967787,1.686151079,4448,75,67548642.68,6862724.502
CHL,2016,Import,67.81783135,63.29580348,4885,3092,66747810.12,45266917.29
CIV,2012,Export,38.38669622,3.380476026,2899,98,17733847.68,6807438.237
CIV,2012,Import,21.86669335,18.70685688,4346,813,14446380.59,3158945.744
CMR,2015,Export,76.55452631,14.98401096,2189,328,4581899.958,3507651.809
CMR,2015,Import,46.80201167,18.70809119,4474,837,6796458.782,3180879.432
COL,2016,Export,14.90785074,10.26753435,4149,426,43183505.97,6437732.615
COL,2016,Import,71.80046779,64.40607447,4807,3096,57055438.03,40966071.41
CRI,2016,Export,0.083024028,0.190891737,3667,7,10725190.12,8904.4848
CRI,2016,Import,1.690333236,0.810926163,4686,38,16626437.06,281042.1915
CUB,2017,Export,41.97496141,17.11944804,2319,397,3083212.931,1294177.438
CUB,2017,Import,39.63444549,21.08685555,4306,908,12456493.53,4937062.138
DMA,2015,Export,45.02419731,2.183098592,1420,31,357768.3659,161082.335
DMA,2015,Import,37.70224768,26.30872483,2980,784,604113.599,227764.4054
DZA,2016,Export,0.015522459,1.491525424,1475,22,43949032.9,6821.970667
DZA,2016,Import,52.8957298,53.17207723,4713,2506,55539542.76,29378046.47
ECU,2016,Export,22.43154983,6.732247156,3253,219,21140906.16,4742232.9
ECU,2016,Import,69.74829854,57.33421168,4554,2611,23005221.09,16045750.29
ETH,2015,Export,91.90212345,37.2858431,2218,827,6989687.186,6423670.947
ETH,2015,Import,97.80157897,90.04515158,4651,4188,28076169.03,27458936.62
EUN,2016,Export,5.788510582,10.13292237,5191,526,1964879512,113737258.5
EUN,2016,Import,94.31060715,93.88030888,5180,4863,1889997974,1782468565
GHA,2014,Export,93.29790664,24.13793103,3451,833,25745149.72,24019685.75
GHA,2014,Import,51.33839515,41.26883089,4713,1945,27750179.85,14246496.99
GMB,2013,Export,3.480040878,8.1799591,489,40,149039.1315,5186.6227
GMB,2013,Import,61.25327596,14.75182228,2881,425,558378.5783,342025.1715
GRD,2015,Export,43.35584425,4.410701374,1383,61,90719.14376,39332.05067
GRD,2015,Import,39.20623054,18.88011486,2786,526,419367.438,164418.1645
GTM,2016,Export,0.255153342,0.203821656,3925,8,11167950.23,28495.3982
GTM,2016,Import,0.82652408,0.596252129,4696,28,18347060.56,151642.8735
GUY,2015,Export,85.61156151,69.34346175,1843,1278,1545829.948,1323409.157
GUY,2015,Import,52.52532944,71.82662539,3876,2784,2619983.009,1376154.707
HND,2016,Export,0.439259073,0.239726027,2920,7,4614265.302,20268.579
HND,2016,Import,0.694875337,0.506161972,4544,23,8433944.42,58605.3997
IDN,2015,Export,59.753107,33.66551127,4616,1554,162317144.5,96989537.04
IDN,2015,Import,68.95290239,56.33434038,4965,2797,156942664.1,108216522
IND,2012,Export,4.56103079,1.314708299,4868,64,289136625.8,13187610.53
IND,2012,Import,45.52091425,43.70680628,4775,2087,401796079.2,182901248.6
ISR,2016,Export,2.177091673,6.356711321,3807,242,66210342.76,1441459.859
ISR,2016,Import,22.24730598,19.94201698,4829,963,68942267.84,15337797.28
JAM,2015,Export,72.15022036,7.3611709,2323,171,1431785.706,1033036.542
JAM,2015,Import,53.87695074,38.30570902,4344,1664,5497337.103,2961797.603
JPN,2015,Export,41.23107257,30.405688,4782,1454,622792354.8,256783967.8
JPN,2015,Import,76.18421435,61.19760479,5010,3066,685577478.7,522301815.9
KHM,2015,Export,93.55171183,71.63724893,1643,1177,9227339.353,8632333.922
KHM,2015,Import,82.75861474,72.85499247,3986,2904,11633393.19,9627635.049
KWT,2015,Export,25.584334,11.9307069,3579,427,68610427.41,17553520.91
KWT,2015,Import,41.36754671,23.5642755,4893,1153,33330055.85,13787826.42
LBN,2016,Export,8.272171565,10.26461181,3439,353,4394863.944,363550.6855
LBN,2016,Import,57.28405954,26.3671875,4608,1215,26577815.03,15224851.38
LBR,2014,Export,36.26975653,38.87569279,1263,491,2831902.994,1027124.321
LBR,2014,Import,19.15336336,46.4738292,3630,1687,16443741.62,3149529.583
LKA,2016,Export,30.58105904,23.07692308,3913,903,11283180.28,3450516.023
LKA,2016,Import,63.29573963,46.70534604,4826,2254,20519708.91,12988101.52
MAR,2016,Export,32.14586654,24.10936205,3621,873,31325888.51,10069978.31
MAR,2016,Import,57.25117865,44.55094811,4799,2138,55074378.36,31530730.75
MEX,2017,Export,20.71643366,19.11157025,4840,925,383963662.1,79543577.33
MEX,2017,Import,52.96524929,49.41035379,5003,2472,385198968.8,204021594.1
MMR,2015,Export,69.97007404,29.75088968,1405,418,13327521.45,9325276.625
MMR,2015,Import,60.23752727,38.43864469,4368,1679,17178161.56,10347699.76
MRT,2015,Export,31.99678392,12.82722513,1146,147,5848418.525,1871305.838
MRT,2015,Import,36.57657178,17.92922674,3815,684,6762350.885,2473436.126
MYS,2015,Export,14.88446119,21.38116964,4822,1031,211521362.8,31483815.16
MYS,2015,Import,54.95550785,36.60310596,5087,1862,188524891.3,103604811.4
NER,2014,Export,1.542383851,0.99009901,1212,12,1133212.611,17478.4883
NER,2014,Import,28.50562287,18.78062058,3674,690,2521156.525,718671.3709
NGA,2013,Export,1.022465293,24.40585009,1094,267,97906155.4,1001056.458
NGA,2013,Import,94.3319628,85.8988395,4567,3923,57430704.41,54175510.72
NIC,2016,Export,42.67172411,13.22957198,2570,340,6531734.798,2787203.852
NIC,2016,Import,56.70771622,39.6519285,4252,1686,8664195.051,4913267.142
NPL,2012,Export,1.066563751,0.636942675,1413,9,886969.9687,9460.100167
NPL,2012,Import,33.69315407,21.96721311,4575,1005,9341137.301,3147323.782
NZL,2016,Export,60.17038491,18.01526718,4585,826,36424125.38,21916536.44
NZL,2016,Import,76.92586849,53.41704405,4858,2595,39305824.55,30236346.91
OMN,2015,Export,76.0843512,18.95839949,3149,597,39166107.9,29799279.09
OMN,2015,Import,54.78320825,53.26695706,4821,2568,31776744.63,17408320.19
PAK,2016,Export,18.64690272,13.88888889,3708,515,23368866.76,4357569.852
PAK,2016,Import,33.12481256,15.23668639,4732,721,48896333.09,16196818.69
PAN,2016,Export,0.040226039,0.050479556,3962,2,12633431.15,5081.929
PAN,2016,Import,14.86307169,5.793650794,3780,219,10708129.13,1591556.909
PER,2016,Export,14.30380295,9.378806334,4105,385,37047347.8,5299179.627
PER,2016,Import,53.29789711,35.04454815,4714,1652,40371900.59,21517374.04
PHL,2015,Export,71.60478402,41.16238572,4594,1891,158513375.7,113503160.3
PHL,2015,Import,84.75946899,71.85929648,4975,3575,206951080.5,175410636.9
PRY,2016,Export,31.5389585,10.82550667,2023,219,9418900.824,2970623.222
PRY,2016,Import,50.70124286,30.06007394,4328,1301,11259889.81,5708904.08
PSE,2014,Export,13.11278903,11.59305994,1268,147,1346708.828,176591.0875
PSE,2014,Import,57.07191566,52.9476584,3630,1922,7505388.018,4283468.719
QAT,2016,Export,0.542648808,12.53584596,2441,306,81215749.88,440716.2987
QAT,2016,Import,67.94115278,60.35964036,5005,3021,33628663,22847701.31
RUS,2016,Export,55.71204845,91.4902198,4959,4537,380795947.5,212149222.7
RUS,2016,Import,90.46996324,80.81810961,5036,4070,226660733.1,205059881.9
SAU,2016,Export,6.04440872,51.18534483,3712,1900,436813549.6,26402796.28
SAU,2016,Import,75.45122526,70.28331584,4765,3349,161443956.6,121811443.4
SEN,2012,Export,32.94230172,10.488677,2517,264,2919897.052,961881.2966
SEN,2012,Import,48.30062469,28.76744186,4300,1237,6554679.732,3165951.257
SGP,2015,Export,18.94128279,15.54124247,4813,748,345440998.8,65430956.46
SGP,2015,Import,39.30311693,27.79387417,4832,1343,315067549.8,123831367.5
SLV,2016,Export,0.045264971,0.060587701,3301,2,5564381.732,2518.7158
SLV,2016,Import,0.89501236,0.914634146,4592,42,10620514.79,95054.92
SUR,2015,Export,9.382129701,2.576335878,1048,27,519412.4709,48731.9517
SUR,2015,Import,12.26505131,14.17910448,3082,437,2124364.587,260554.4065
THA,2015,Export,11.39691277,4.911075182,4948,243,220864963.4,25171787.21
THA,2015,Import,31.08654059,29.63254077,5089,1508,213375560.4,66331080.2
TJK,2015,Export,20.59045543,16.41025641,1365,224,1867856.589,384600.1786
TJK,2015,Import,55.7573552,34.69275282,3629,1259,8455042.521,4714308.091
TTO,2015,Export,81.74165293,36.58945955,2979,1090,17038416.2,13927483.04
TTO,2015,Import,58.58195848,33.38842975,4235,1414,10400921.56,6093063.55
TUN,2016,Export,56.65522721,42.82851417,3493,1496,15557537.56,8814158.253
TUN,2016,Import,70.62527807,58.17104149,4724,2748,22737652.48,16058530.29
TUR,2016,Export,24.15748784,19.24815119,4868,937,150494350.6,36355654.46
TUR,2016,Import,60.74127376,67.62002043,4895,3310,195487420.6,118741549.3
URY,2016,Export,32.16970053,2.481582009,2579,64,8619631.223,2772909.551
URY,2016,Import,62.4103977,47.78172138,4508,2154,10259328.48,6402887.705
USA,2014,Export,31.92438334,29.83233764,5189,1548,1383020047,441520621.4
USA,2014,Import,77.36405355,61.52355108,5159,3174,2250153572,1740810014
VEN,2016,Export,NULL,NULL,NULL,0,NULL,NULL
VEN,2016,Import,10.09398093,3.454306952,4574,158,62106666.06,6269035.027
VNM,2015,Export,46.5297029,21.80755396,4448,970,166317922.9,77387235.41
VNM,2015,Import,37.98613079,47.03517588,4975,2340,165581468.5,62897993.18
WLD,75,Export,27.3144581,21.88338928,229087,50132,9186360685,2509204640
WLD,75,Import,71.98210308,43.04243839,334909,144153,9913717599,7136102421
